Survived,PassengerClass,Sex,Age,SiblingSpouse
0,3,male,adult,1
1,1,female,adult,1
1,3,female,adult,0
1,1,female,adult,1
0,3,male,adult,0
0,1,male,adult,0
0,3,male,child,1
1,3,female,adult,0
1,2,female,teenage,1
1,3,female,child,1
1,1,female,adult,0
0,3,male,adult,0
0,3,male,adult,1
0,3,female,teenage,0
1,2,female,adult,0
0,3,male,child,1
0,3,female,adult,1
0,2,male,adult,0
1,2,male,adult,0
1,3,female,teenage,0
1,1,male,adult,0
0,3,female,child,1
1,3,female,adult,1
0,1,male,teenage,1
0,1,male,adult,0
0,2,male,adult,0
0,1,male,adult,1
0,1,male,adult,1
0,3,male,adult,0
0,3,female,teenage,1
1,3,female,teenage,1
0,3,female,adult,1
0,2,female,adult,1
1,2,female,child,1
1,3,female,teenage,0
0,3,female,teenage,1
0,3,male,child,1
0,3,male,adult,0
1,1,female,adult,1
1,2,female,adult,1
0,1,male,adult,0
1,2,female,adult,0
0,3,male,adult,0
1,2,female,child,1
0,3,male,child,1
0,3,male,adult,0
0,1,male,adult,1
0,3,male,child,1
1,2,female,adult,0
0,3,male,teenage,0
1,3,female,teenage,1
0,3,male,adult,1
0,2,male,adult,0
0,3,female,teenage,1
0,2,male,adult,0
0,3,male,adult,1
1,3,male,adult,0
0,3,male,adult,0
1,2,male,child,0
1,3,female,adult,0
0,3,male,adult,0
1,3,male,adult,0
0,1,male,adult,0
1,2,female,teenage,0
1,3,female,adult,1
0,3,male,teenage,1
1,1,female,adult,1
0,3,male,adult,0
0,3,male,adult,0
0,3,male,adult,0
0,1,male,adult,1
0,3,male,adult,1
0,3,male,adult,0
0,1,male,adult,0
1,1,male,adult,0
1,2,female,adult,0
0,2,male,adult,1
0,3,female,adult,0
0,1,male,adult,0
0,3,male,adult,0
0,3,male,adult,1
0,3,male,adult,0
1,3,female,adult,0
0,3,male,adult,0
0,1,male,adult,0
0,3,female,teenage,1
0,3,male,adult,0
0,3,female,adult,1
0,3,female,teenage,0
0,3,male,adult,0
0,3,male,adult,0
0,2,male,adult,1
0,1,male,adult,0
0,3,female,child,1
0,2,male,adult,1
0,2,male,adult,1
1,2,female,adult,0
0,1,male,adult,0
1,3,male,child,1
1,3,male,adult,0
0,3,male,adult,0
0,3,male,adult,0
0,3,male,adult,0
0,3,female,adult,1
1,2,female,adult,1
0,2,male,adult,0
0,2,male,adult,0
1,1,female,teenage,0
0,1,male,adult,1
0,3,male,teenage,0
0,1,male,adult,0
1,3,female,adult,0
1,3,female,adult,1
0,3,male,teenage,0
0,2,male,teenage,0
0,2,male,teenage,1
1,3,male,adult,0
0,3,female,child,1
0,2,male,adult,0
0,2,male,adult,0
0,2,male,adult,0
1,1,female,adult,1
0,3,male,adult,0
0,3,male,adult,0
0,1,male,adult,0
1,3,female,teenage,0
0,3,male,adult,0
0,3,male,adult,0
1,2,female,adult,0
0,3,male,adult,0
0,3,male,teenage,0
0,3,male,child,1
1,3,male,child,0
0,3,female,adult,1
0,3,male,adult,0
0,1,male,adult,0
0,3,male,child,1
1,3,female,child,1
0,3,male,adult,0
0,1,male,adult,0
0,3,male,teenage,1
0,1,female,adult,0
0,2,male,adult,0
0,3,male,adult,0
0,3,male,child,1
1,2,male,child,1
1,3,female,child,0
1,1,male,adult,0
0,3,male,adult,1
0,3,male,adult,0
1,2,female,adult,0
0,2,male,teenage,0
1,3,female,teenage,1
1,2,male,child,1
1,1,female,adult,0
1,1,female,adult,0
0,3,male,adult,0
0,2,female,adult,0
0,3,male,adult,0
0,3,male,adult,0
0,3,male,adult,0
1,3,male,teenage,0
0,3,female,child,0
0,3,male,adult,1
1,3,male,adult,0
1,3,female,teenage,0
1,1,male,adult,0
0,3,male,adult,0
1,2,female,adult,0
0,3,male,adult,0
0,2,male,adult,0
1,1,female,adult,1
1,3,female,adult,0
0,2,male,adult,1
1,1,female,adult,0
0,2,male,adult,0
1,3,male,teenage,0
0,2,male,adult,0
0,3,male,adult,0
1,1,male,adult,1
0,3,male,adult,0
1,2,male,teenage,0
0,3,male,adult,0
0,2,male,teenage,0
1,1,female,adult,1
0,3,male,adult,0
0,2,male,adult,0
1,3,female,child,1
0,2,male,adult,0
0,2,male,adult,1
1,2,female,child,0
0,2,male,teenage,0
0,2,male,adult,0
0,2,male,adult,0
0,3,male,adult,0
0,3,male,adult,0
0,1,male,adult,1
0,3,female,adult,0
1,2,female,adult,0
1,1,male,adult,1
